[2025-01-21 18:19:49.854] [MAIN] Uruchamiam proces pszczelarz...
[2025-01-21 18:19:49.854] [MAIN] Uruchamiam proces ul...
[2025-01-21 18:19:49.854] [MAIN] Uruchamiam proces krolowa...
[2025-01-21 18:19:52.859] Stan: 49/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139863412152000
[2025-01-21 18:19:52.859] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 2, id: 139861281453760
[2025-01-21 18:19:52.860] Stan: 49/50, [ROBOTNICA] Pszczolas wyszla wejsciem 2, id: 139862875281088
[2025-01-21 18:19:52.860] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 2, id: 139859670841024
[2025-01-21 18:19:52.860] Stan: 49/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139862623631040
[2025-01-21 18:19:52.860] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139861264668352
[2025-01-21 18:19:52.861] Stan: 49/50, [ROBOTNICA] Pszczolas wyszla wejsciem 2, id: 139862606845632
[2025-01-21 18:19:52.861] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 2, id: 139862086760128
[2025-01-21 18:19:52.862] Stan: 49/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139862338410176
[2025-01-21 18:19:52.862] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 2, id: 139860979480256
[2025-01-21 18:19:52.863] Stan: 49/50, [ROBOTNICA] Pszczolas wyszla wejsciem 2, id: 139861835110080
[2025-01-21 18:19:52.863] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139860971087552
[2025-01-21 18:19:52.864] Stan: 49/50, [ROBOTNICA] Pszczolas wyszla wejsciem 2, id: 139861575067328
[2025-01-21 18:19:52.865] Stan: 48/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139861558281920
[2025-01-21 18:19:52.865] Stan: 49/50, [ROBOTNICA] Pszczoła weszła wejsciem 2, id: 139860962694848
[2025-01-21 18:19:52.865] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139863437330112
[2025-01-21 18:19:52.865] Stan: 49/50, [ROBOTNICA] Pszczolas wyszla wejsciem 2, id: 139862346802880
[2025-01-21 18:19:52.865] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 2, id: 139860954302144
